ImageFile,targ_side,correctAnswer,n,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,order
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,1.0,39.84416580200195,39.84416580200195,0.0,,1.0,1.0,0.0,'2',0.577237069606781,0.577237069606781,0.0,39.84416580200195,39.84416580200195,0.0,,7.0
images/exp1a_trial_1_colour1_distractors4_r.png,r,2,1.0,48.53589630126953,48.53589630126953,0.0,,1.0,1.0,0.0,'2',0.5814213156700134,0.5814213156700134,0.0,48.53589630126953,48.53589630126953,0.0,,17.0
images/exp1a_trial_2_colour1_distractors9_r.png,r,2,1.0,45.783226013183594,45.783226013183594,0.0,,1.0,1.0,0.0,'2',0.5740607380867004,0.5740607380867004,0.0,45.783226013183594,45.783226013183594,0.0,,14.0
images/exp1a_trial_3_colour1_distractors19_r.png,r,2,1.0,44.11488723754883,44.11488723754883,0.0,,1.0,1.0,0.0,'2',0.7544156312942505,0.7544156312942505,0.0,44.11488723754883,44.11488723754883,0.0,,12.0
images/exp1a_trial_4_colour1_distractors31_r.png,r,2,1.0,33.320926666259766,33.320926666259766,0.0,,1.0,1.0,0.0,'2',0.9642939567565918,0.9642939567565918,0.0,33.320926666259766,33.320926666259766,0.0,,0.0
images/exp1a_trial_5_colour2_distractors1_r.png,r,2,1.0,39.076602935791016,39.076602935791016,0.0,,1.0,1.0,0.0,'2',0.6568276882171631,0.6568276882171631,0.0,39.076602935791016,39.076602935791016,0.0,,6.0
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,1.0,35.4062614440918,35.4062614440918,0.0,,1.0,1.0,0.0,'2',0.8070838451385498,0.8070838451385498,0.0,35.4062614440918,35.4062614440918,0.0,,2.0
images/exp1a_trial_7_colour2_distractors9_r.png,r,2,1.0,36.32387161254883,36.32387161254883,0.0,,1.0,1.0,0.0,'2',0.777424156665802,0.777424156665802,0.0,36.32387161254883,36.32387161254883,0.0,,3.0
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,1.0,49.98740768432617,49.98740768432617,0.0,,1.0,1.0,0.0,'2',0.6819673776626587,0.6819673776626587,0.0,49.98740768432617,49.98740768432617,0.0,,19.0
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,1.0,34.38861083984375,34.38861083984375,0.0,,1.0,1.0,0.0,'2',0.9127323031425476,0.9127323031425476,0.0,34.38861083984375,34.38861083984375,0.0,,1.0
images/exp1a_trial_10_colour3_distractors1_r.png,r,2,1.0,40.528011322021484,40.528011322021484,0.0,,1.0,1.0,0.0,'2',0.8693581223487854,0.8693581223487854,0.0,40.528011322021484,40.528011322021484,0.0,,8.0
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,1.0,42.3798713684082,42.3798713684082,0.0,,1.0,1.0,0.0,'2',0.6415455341339111,0.6415455341339111,0.0,42.3798713684082,42.3798713684082,0.0,,10.0
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,1.0,37.208255767822266,37.208255767822266,0.0,,1.0,1.0,0.0,'2',0.9571717381477356,0.9571717381477356,0.0,37.208255767822266,37.208255767822266,0.0,,4.0
images/exp1a_trial_13_colour3_distractors19_r.png,r,2,1.0,46.484100341796875,46.484100341796875,0.0,,1.0,1.0,0.0,'2',0.96126389503479,0.96126389503479,0.0,46.484100341796875,46.484100341796875,0.0,,15.0
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,1.0,43.1306037902832,43.1306037902832,0.0,,1.0,1.0,0.0,'2',0.8746825456619263,0.8746825456619263,0.0,43.1306037902832,43.1306037902832,0.0,,11.0
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,1.0,41.52910232543945,41.52910232543945,0.0,,1.0,1.0,0.0,'1',0.7402797341346741,0.7402797341346741,0.0,41.52910232543945,41.52910232543945,0.0,,9.0
images/exp1a_trial_16_colour1_distractors4_l.png,l,1,1.0,44.98238754272461,44.98238754272461,0.0,,1.0,1.0,0.0,'1',0.69496089220047,0.69496089220047,0.0,44.98238754272461,44.98238754272461,0.0,,13.0
images/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,38.275794982910156,38.275794982910156,0.0,,1.0,1.0,0.0,'1',0.6976946592330933,0.6976946592330933,0.0,38.275794982910156,38.275794982910156,0.0,,5.0
images/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,49.219879150390625,49.219879150390625,0.0,,1.0,1.0,0.0,'1',0.6654676198959351,0.6654676198959351,0.0,49.219879150390625,49.219879150390625,0.0,,18.0
images/exp1a_trial_19_colour1_distractors31_l.png,l,1,1.0,47.56829071044922,47.56829071044922,0.0,,1.0,1.0,0.0,'1',0.8690077066421509,0.8690077066421509,0.0,47.56829071044922,47.56829071044922,0.0,,16.0

extraInfo
participant,1
session,001
date,2020_Oct_13_1448
expName,searchDisc
psychopyVersion,2020.2.2
frameRate,59.89385903904526
