ImageFile,targ_side,correctAnswer,n,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,text_4.started_raw,text_4.stopped_raw,order
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,1.0,40.74457550048828,40.74457550048828,0.0,,1.0,1.0,0.0,'2',0.6482273936271667,0.6482273936271667,0.0,40.74457550048828,40.74457550048828,0.0,,,,18.0
images/exp1a_trial_1_colour1_distractors4_r.png,r,2,1.0,32.51983642578125,32.51983642578125,0.0,,1.0,1.0,0.0,'2',0.6248956918716431,0.6248956918716431,0.0,32.51983642578125,32.51983642578125,0.0,,,,8.0
images/exp1a_trial_2_colour1_distractors9_r.png,r,2,1.0,37.675086975097656,37.675086975097656,0.0,,1.0,1.0,0.0,'2',0.5977892875671387,0.5977892875671387,0.0,37.675086975097656,37.675086975097656,0.0,,,,14.0
images/exp1a_trial_3_colour1_distractors19_r.png,r,2,1.0,36.94085693359375,36.94085693359375,0.0,,1.0,1.0,0.0,'2',0.611998438835144,0.611998438835144,0.0,36.94085693359375,36.94085693359375,0.0,,,,13.0
images/exp1a_trial_4_colour1_distractors31_r.png,r,2,1.0,31.7858829498291,31.7858829498291,0.0,,1.0,1.0,0.0,'2',0.6149466037750244,0.6149466037750244,0.0,31.7858829498291,31.7858829498291,0.0,,,,7.0
images/exp1a_trial_5_colour2_distractors1_r.png,r,2,1.0,39.14319610595703,39.14319610595703,0.0,,1.0,1.0,0.0,'2',0.6415579915046692,0.6415579915046692,0.0,39.14319610595703,39.14319610595703,0.0,,,,16.0
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,1.0,34.104801177978516,34.104801177978516,0.0,,1.0,1.0,0.0,'2',0.9360758662223816,0.9360758662223816,0.0,34.104801177978516,34.104801177978516,0.0,,,,10.0
images/exp1a_trial_7_colour2_distractors9_r.png,r,2,1.0,28.21556854248047,28.21556854248047,0.0,,1.0,1.0,0.0,'2',0.7212574481964111,0.7212574481964111,0.0,28.21556854248047,28.21556854248047,0.0,,,,3.0
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,1.0,38.39248275756836,38.39248275756836,0.0,,1.0,1.0,0.0,'2',0.624359667301178,0.624359667301178,0.0,38.39248275756836,38.39248275756836,0.0,,,,15.0
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,1.0,41.51221466064453,41.51221466064453,0.0,,1.0,1.0,0.0,'2',0.7368375062942505,0.7368375062942505,0.0,41.51221466064453,41.51221466064453,0.0,,42.312974077649415,,19.0
images/exp1a_trial_10_colour3_distractors1_r.png,r,2,1.0,29.066675186157227,29.066675186157227,0.0,,1.0,1.0,0.0,'2',0.8461351990699768,0.8461351990699768,0.0,29.066675186157227,29.066675186157227,0.0,,,,4.0
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,1.0,30.034053802490234,30.034053802490234,0.0,,1.0,1.0,0.0,'2',0.7346605658531189,0.7346605658531189,0.0,30.034053802490234,30.034053802490234,0.0,,,,5.0
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,1.0,30.885095596313477,30.885095596313477,0.0,,1.0,1.0,0.0,'2',0.7635849118232727,0.7635849118232727,0.0,30.885095596313477,30.885095596313477,0.0,,,,6.0
images/exp1a_trial_13_colour3_distractors19_r.png,r,2,1.0,26.196941375732422,26.196941375732422,0.0,,1.0,1.0,0.0,'2',1.0198619365692139,1.0198619365692139,0.0,26.196941375732422,26.196941375732422,0.0,,,,1.0
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,1.0,27.348228454589844,27.348228454589844,0.0,,1.0,1.0,0.0,'2',0.7247105240821838,0.7247105240821838,0.0,27.348228454589844,27.348228454589844,0.0,,,,2.0
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,1.0,24.795543670654297,24.795543670654297,0.0,,1.0,1.0,0.0,'1',1.245356559753418,1.245356559753418,0.0,24.795543670654297,24.795543670654297,0.0,,,,0.0
images/exp1a_trial_16_colour1_distractors4_l.png,l,1,1.0,33.270538330078125,33.270538330078125,0.0,,1.0,1.0,0.0,'1',0.7141662836074829,0.7141662836074829,0.0,33.270538330078125,33.270538330078125,0.0,,,,9.0
images/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,35.15571975708008,35.15571975708008,0.0,,1.0,1.0,0.0,'1',0.8611242175102234,0.8611242175102234,0.0,35.15571975708008,35.15571975708008,0.0,,,,11.0
images/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,36.14023208618164,36.14023208618164,0.0,,1.0,1.0,0.0,'1',0.6845558285713196,0.6845558285713196,0.0,36.14023208618164,36.14023208618164,0.0,,,,12.0
images/exp1a_trial_19_colour1_distractors31_l.png,l,1,1.0,39.91063690185547,39.91063690185547,0.0,,1.0,1.0,0.0,'1',0.7061308026313782,0.7061308026313782,0.0,39.91063690185547,39.91063690185547,0.0,,,,17.0

extraInfo
participant,1
session,001
date,2020_Oct_20_0800
expName,searchDisc3
psychopyVersion,2020.2.2
frameRate,59.89431822970738
